Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,2369.7,28436.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,921.51,11058.12,USD," Inbound (from: Internet) 10 TB per month 
 Outbound (to: Internet) 10 TB per month 
 Intra-Region 0 TB per month 
"
My Estimate,US East (N. Virginia),S3 Standard,0,2304,27648.00,USD,S3 Standard storage (100 TB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Internet) 0 TB per month 
 Outbound (to: Amazon Cloud Front) 0 TB per month 
"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,149.65,1795.80,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Amazon EC2,0,4150,49800.00,USD,"Operating system (Linux), Quantity (50), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m4.large)"
My Estimate,US East (N. Virginia),Amazon EC2,0,4004,48048.00,USD,"Operating system (Linux), Quantity (50), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (m5.large)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,5932.86,71194.32,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (20 TB), Additional backup storage (10 TB)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
